id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts
source_6-75716,dolo 1gm tablet,source_6,False,45.58,40.11,micro labs,10 tablets in strip,strip,paracetamol acetaminophen10 g
source_2-39579,dolo 1000mg infusion,source_2,True,268.0,219.76,micro labs,,,paracetamolacetaminophen 1000mg
source_7-90343,dolo 1000mg tablet,source_7,False,45.58,35.1,micro labs,100 tablets in 1 strip,,paracetamol 1000mg
source_1-65076,dolo 1000 mg tablet 10s,source_1,True,45.5,40.0,micro labs,10,strip tablet,paracetamol1000mg
source_1-65077,dolo 120 mg suspension 60 ml,source_1,False,40.0,35.2,micro labs,60,bottle suspension,paracetamol120mg
source_6-75717,dolo 120mg suspension 60ml,source_6,False,40.32,34.27,micro labs,60ml suspension in bottle,bottle,paracetamol acetaminophen1200mg5ml
source_2-39580,dolo 120 suspension,source_2,True,34.94,28.65,micro labs,,,paracetamolacetaminophen 120mg5ml
source_3-2151,dolo 156mg syp 60ml,source_3,False,51.0,43.35,micro labs,60,bottle syrup,paracetamolacetaminophen 15625mg 5ml
source_7-90345,dolo 15625mg suspension,source_7,False,56.0,49.6,micro labs,600 ml in 1 bottle,,paracetamol 15625mg5ml
source_1-65079,dolo 15625 mg syrup 60 ml,source_1,False,56.0,49.3,micro labs,60,bottle syrup,paracetamol15625mg
source_6-75718,dolo 250mg suspension 60ml,source_6,False,45.02,39.62,micro labs,60ml suspension in bottle,bottle,paracetamol acetaminophen2500mg
source_3-2152,dolo 250mg syp 60ml,source_3,False,45.02,38.27,micro labs,60,bottle syrup,paracetamolacetaminophen 250mg 5ml
source_7-90346,dolo 250 oral suspension,source_7,False,45.02,34.2,micro labs,600 ml in 1 bottle,,paracetamol 250mg5ml
source_1-65080,dolo 250 suspension 100 ml,source_1,False,75.0,66.0,micro labs,100,bottle suspension,paracetamol250mg
source_1-65081,dolo 250 suspension 60 ml,source_1,False,45.0,39.6,micro labs,60,bottle suspension,paracetamol250mg
source_6-75719,dolo 500mg strip of 10 tablets,source_6,False,13.58,13.58,micro labs,10 tablets in strip,strip,paracetamol acetaminophen5000mg
source_6-75720,dolo 500mg strip of 15 tablets,source_6,False,14.95,13.16,micro labs,15 tablets in strip,strip,paracetamol acetaminophen5000mg
source_3-2153,dolo 500mg tab 1x15,source_3,False,14.95,14.2,micro labs,15,strip tablet,paracetamolacetaminophen 500mg
source_2-39583,dolo 500 tablet,source_2,True,14.95,12.26,micro labs,,,paracetamol 500mg
source_1-65082,dolo 500 tablet 10s,source_1,False,10.0,8.8,micro labs,10,strip tablet,paracetamol500mg
source_1-65083,dolo500 tablet 15s,source_1,False,14.5,12.8,micro labs,15,strip tablet,paracetamol500mg
source_6-75721,dolo 650mg strip of 10 tablets,source_6,False,22.61,19.9,micro labs,10 tablets in strip,strip,paracetamol acetaminophen6500mg
source_6-75722,dolo 650mg strip of 15 tablets,source_6,False,33.76,29.71,micro labs,15 tablets in strip,strip,paracetamol acetaminophen6500mg
source_2-39584,dolo 650 tablet,source_2,False,33.6,27.55,micro labs,,,paracetamol 650mg
source_1-65084,dolo650 tablet 15s,source_1,False,33.5,29.5,micro labs,15,strip tablet,paracetamol650mg
source_6-75723,dolo ampoule of 2ml injection,source_6,True,9.8,9.8,micro labs,2ml injection in ampoule,ampoule,paracetamol acetaminophen1500mg
source_6-75724,dolo bottle of 5ml drops,source_6,False,27.0,27.0,micro labs,5ml oral drop in bottle,bottle,paracetamol acetaminophen1000mg
source_6-75725,dolo cold 325102 mg suspension 60 ml,source_6,True,54.45,46.28,micro labs,60ml suspension in bottle,bottle,phenylephrine100mg chlorpheniramine chlorphenamine20mg paracetamol acetaminophen3250mg
source_6-75726,dolo cold 50 mg capsule sr 10,source_6,True,15.85,13.47,micro labs,10 capsules in strip,strip,chlorpheniramine chlorphenamine500mg pseudoephedrine500mg paracetamol acetaminophen500mg
